epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0445,0.44361,0.32104,1.00768,0.9218,0.93555,0.93452,0.70677,0.9833,0.73691,1.19117,0.000554835,0.000554835,0.000554835
2,149.833,0.46879,0.3509,0.99507,0.95087,0.94316,0.95631,0.7275,0.97534,0.60886,1.21127,0.00110367,0.00110367,0.00110367
3,259.672,0.4714,0.37456,1.02975,0.94239,0.93107,0.96611,0.73966,0.98722,0.58782,1.22606,0.00162539,0.00162539,0.00162539
4,365.76,0.4951,0.37642,1.03188,0.90161,0.9392,0.95415,0.70976,1.06596,0.65044,1.33039,0.00157616,0.00157616,0.00157616
5,416.376,0.49964,0.39159,1.04404,0.91113,0.94204,0.92254,0.68157,1.04871,0.63879,1.27574,0.00150782,0.00150782,0.00150782
6,466.406,0.49947,0.37945,1.04853,0.90448,0.92256,0.90912,0.68707,0.98551,0.64211,1.21068,0.00142288,0.00142288,0.00142288
7,516.839,0.49045,0.37933,1.05493,0.91484,0.92972,0.95738,0.71126,1.04757,0.72452,1.26087,0.00132342,0.00132342,0.00132342
8,567.207,0.46964,0.3561,1.01558,0.93827,0.95178,0.95863,0.721,0.99243,0.65347,1.22832,0.00121191,0.00121191,0.00121191
9,617.274,0.49613,0.35682,1.02257,0.94197,0.92581,0.94519,0.69816,1.02457,0.70995,1.30444,0.00109107,0.00109107,0.00109107
10,667.161,0.50615,0.3772,1.04993,0.93721,0.94204,0.94749,0.72512,0.95733,0.68176,1.18437,0.000963897,0.000963897,0.000963897
11,717.632,0.63038,0.28951,0.85824,0.96312,0.93879,0.96448,0.74876,0.95183,0.4851,1.16679,0.000833511,0.000833511,0.000833511
12,767.804,0.58747,0.26156,0.85907,0.93088,0.95178,0.96368,0.75863,0.95192,0.51033,1.17788,0.000703124,0.000703124,0.000703124
13,817.689,0.59174,0.2634,0.83143,0.95613,0.94847,0.9659,0.73783,0.9694,0.48897,1.16175,0.000575949,0.000575949,0.000575949
14,867.61,0.59917,0.25902,0.81218,0.94273,0.95178,0.964,0.76389,0.94566,0.50672,1.15739,0.000455115,0.000455115,0.000455115
15,917.508,0.58341,0.24427,0.80003,0.94331,0.95827,0.9697,0.78231,0.90622,0.43208,1.09561,0.000343598,0.000343598,0.000343598
16,967.535,0.53947,0.23725,0.81162,0.92767,0.95827,0.96155,0.75572,0.90737,0.52076,1.09306,0.000244145,0.000244145,0.000244145
17,1017.3,0.56945,0.24268,0.80225,0.94756,0.95827,0.96806,0.77241,0.90887,0.45535,1.08992,0.000159204,0.000159204,0.000159204
18,1067.45,0.53837,0.23263,0.80855,0.93469,0.95178,0.96434,0.77623,0.88956,0.47618,1.07011,9.08666e-05,9.08666e-05,9.08666e-05
19,1117.28,0.55549,0.23287,0.78927,0.93339,0.95827,0.965,0.76948,0.88692,0.48288,1.0644,4.08155e-05,4.08155e-05,4.08155e-05
20,1167.25,0.53145,0.22993,0.78596,0.93865,0.95827,0.96814,0.77998,0.88535,0.46764,1.06176,1.02833e-05,1.02833e-05,1.02833e-05
