epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9738,2.76665,4.73961,3.53051,0.93408,0.26852,0.42123,0.16735,2.25819,4.58222,2.78637,0.000554835,0.000554835,0.000554835
2,104.96,1.66007,2.00043,2.25538,0.56389,0.67677,0.65406,0.38455,1.81744,1.76652,2.22134,0.00111023,0.00111023,0.00111023
3,154.771,1.18661,1.27858,1.73299,0.85832,0.68401,0.76922,0.39262,2.02932,1.41835,2.31058,0.00166452,0.00166452,0.00166452
4,203.733,1.03357,1.07274,1.53542,0.86021,0.80339,0.85594,0.5194,1.70542,1.22428,1.96021,0.0016633,0.0016633,0.0016633
5,252.447,0.94244,0.96865,1.45913,0.82565,0.79509,0.8656,0.45498,1.86175,1.12328,2.34005,0.00166043,0.00166043,0.00166043
6,301.362,0.90564,0.87849,1.41849,0.85583,0.80002,0.86226,0.51488,1.67014,1.04456,1.98703,0.00165674,0.00165674,0.00165674
7,350.444,0.83693,0.77668,1.3707,0.896,0.81878,0.8936,0.46497,1.8036,1.03638,2.18087,0.00165224,0.00165224,0.00165224
8,399.413,0.78801,0.73113,1.30572,0.88799,0.87534,0.92502,0.50276,1.73284,0.93278,2.1403,0.00164693,0.00164693,0.00164693
9,447.959,0.78659,0.70135,1.28742,0.92371,0.84562,0.92217,0.56365,1.52599,0.82938,1.84113,0.00164081,0.00164081,0.00164081
10,496.953,0.79783,0.72678,1.31802,0.8889,0.84952,0.92381,0.56591,1.57069,0.93438,1.99712,0.00163391,0.00163391,0.00163391
11,545.72,0.73979,0.66085,1.25792,0.92282,0.90261,0.92453,0.54106,1.62038,0.85067,2.03698,0.00162621,0.00162621,0.00162621
12,594.45,0.73046,0.64391,1.2512,0.92354,0.88141,0.93413,0.5792,1.51882,0.79801,1.8757,0.00161772,0.00161772,0.00161772
13,643.372,0.73498,0.64632,1.25864,0.90765,0.9147,0.93374,0.53689,1.62759,0.7677,1.94308,0.00160847,0.00160847,0.00160847
14,691.951,0.71589,0.59689,1.21254,0.93072,0.88575,0.93628,0.62553,1.37605,0.78072,1.70895,0.00159845,0.00159845,0.00159845
15,740.825,0.67025,0.58277,1.19974,0.90653,0.92905,0.9476,0.62048,1.40485,0.74429,1.77748,0.00158767,0.00158767,0.00158767
16,789.616,0.67555,0.59115,1.20628,0.91169,0.89707,0.92461,0.56788,1.45255,0.88116,1.81775,0.00157615,0.00157615,0.00157615
17,838.228,0.68768,0.57623,1.20987,0.90036,0.89465,0.91896,0.55653,1.45665,0.84812,1.94084,0.0015639,0.0015639,0.0015639
18,887.18,0.67539,0.55835,1.18877,0.95466,0.91804,0.95048,0.63676,1.29292,0.68348,1.58424,0.00155093,0.00155093,0.00155093
19,935.918,0.63646,0.55847,1.14,0.91544,0.93584,0.95286,0.6555,1.26452,0.69209,1.52202,0.00153725,0.00153725,0.00153725
20,984.597,0.61173,0.51281,1.15377,0.92539,0.92581,0.94573,0.63178,1.30141,0.73194,1.6138,0.00152287,0.00152287,0.00152287
21,1033.13,0.62924,0.51417,1.1455,0.93886,0.91428,0.9513,0.64977,1.34069,0.73187,1.60723,0.00150782,0.00150782,0.00150782
22,1081.77,0.64145,0.52897,1.15631,0.96939,0.91979,0.96141,0.6477,1.35064,0.69985,1.65923,0.0014921,0.0014921,0.0014921
23,1130.49,0.63849,0.52599,1.14204,0.96216,0.92905,0.95228,0.63467,1.33598,0.69089,1.73448,0.00147572,0.00147572,0.00147572
